file,line,kind,match,recommended_replacement,notes
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,11,material2-import,import androidx.compose.material.icons.Icons,androidx.compose.material3.*,Swap to Material3 equivalents or remove once screen migrated.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,12,material2-import,import androidx.compose.material.icons.filled.*,androidx.compose.material3.*,Swap to Material3 equivalents or remove once screen migrated.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,13,material2-import,import androidx.compose.material.icons.automirrored.filled.TrendingUp,androidx.compose.material3.*,Swap to Material3 equivalents or remove once screen migrated.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,137,magic-spacing,12.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,141,magic-spacing,8.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,220,magic-spacing,20.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,250,magic-spacing,20.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,281,magic-spacing,8.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,330,magic-spacing,20.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,368,magic-spacing,20.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,370,magic-spacing,8.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,405,magic-spacing,12.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,425,magic-spacing,8.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,554,magic-spacing,12.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,564,magic-spacing,12.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,601,magic-spacing,8.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,741,magic-spacing,20.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,743,magic-spacing,8.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,751,magic-spacing,12.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,766,magic-spacing,8.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,789,magic-spacing,12.dp,"Spacing tokens (e.g., StudyPlanSpacing.Small)",Convert raw dp constants to spacing tokens.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsEngine.kt,3,material2-import,import androidx.compose.material.icons.Icons,androidx.compose.material3.*,Swap to Material3 equivalents or remove once screen migrated.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsEngine.kt,4,material2-import,import androidx.compose.material.icons.filled.Dashboard,androidx.compose.material3.*,Swap to Material3 equivalents or remove once screen migrated.
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsEngine.kt,5,material2-import,import androidx.compose.material.icons.filled.Insights,androidx.compose.material3.*,Swap to Material3 equivalents or remove once screen migrated.
