file,line,kind,match,recommended_replacement,notes
app\src\main\java\com\mtlc\studyplan\accessibility\FocusIndicatorManager.kt,105,hardcoded_color,val focusColor = getFocusColor(focusType),MaterialTheme.colorScheme token,Prefer themed colors from Material 3 colorScheme
app\src\main\java\com\mtlc\studyplan\accessibility\FocusIndicatorManager.kt,156,hardcoded_color,private fun getFocusColor(focusType: FocusType): Int {,MaterialTheme.colorScheme token,Prefer themed colors from Material 3 colorScheme
app\src\main\java\com\mtlc\studyplan\accessibility\FocusIndicatorManager.kt,161,hardcoded_color,"if (highContrast) Color.BLACK else ContextCompat.getColor(context, R.color.focus_indicator_default)",MaterialTheme.colorScheme token,Prefer themed colors from Material 3 colorScheme
app\src\main\java\com\mtlc\studyplan\accessibility\FocusIndicatorManager.kt,164,hardcoded_color,"if (highContrast) Color.BLUE else ContextCompat.getColor(context, R.color.focus_indicator_primary)",MaterialTheme.colorScheme token,Prefer themed colors from Material 3 colorScheme
app\src\main\java\com\mtlc\studyplan\accessibility\FocusIndicatorManager.kt,167,hardcoded_color,"if (highContrast) Color.RED else ContextCompat.getColor(context, R.color.focus_indicator_error)",MaterialTheme.colorScheme token,Prefer themed colors from Material 3 colorScheme
app\src\main\java\com\mtlc\studyplan\accessibility\FocusIndicatorManager.kt,170,hardcoded_color,"if (highContrast) Color.GREEN else ContextCompat.getColor(context, R.color.focus_indicator_success)",MaterialTheme.colorScheme token,Prefer themed colors from Material 3 colorScheme
app\src\main\java\com\mtlc\studyplan\accessibility\FocusIndicatorManager.kt,173,hardcoded_color,"if (highContrast) Color.YELLOW else ContextCompat.getColor(context, R.color.focus_indicator_warning)",MaterialTheme.colorScheme token,Prefer themed colors from Material 3 colorScheme
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,11,material2_import,import androidx.compose.material.icons.Icons,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,12,material2_import,import androidx.compose.material.icons.filled.*,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,13,material2_import,import androidx.compose.material.icons.automirrored.filled.TrendingUp,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,137,hardcoded_spacing,.size(12.dp),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,141,hardcoded_spacing,Spacer(modifier = Modifier.width(8.dp)),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,220,hardcoded_spacing,modifier = Modifier.size(20.dp),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,250,hardcoded_spacing,val padding = 20.dp.toPx(),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,281,hardcoded_spacing,Column(verticalArrangement = Arrangement.spacedBy(8.dp)) {,"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,330,hardcoded_spacing,.clip(RoundedCornerShape(20.dp)),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,368,hardcoded_spacing,modifier = Modifier.size(20.dp),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,370,hardcoded_spacing,Spacer(modifier = Modifier.width(8.dp)),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,405,hardcoded_spacing,Column(modifier = Modifier.padding(12.dp)) {,"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,425,hardcoded_spacing,Spacer(modifier = Modifier.width(8.dp)),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,554,hardcoded_spacing,Spacer(modifier = Modifier.height(12.dp)),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,564,hardcoded_spacing,Spacer(modifier = Modifier.height(12.dp)),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,601,hardcoded_spacing,Spacer(modifier = Modifier.height(8.dp)),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,741,hardcoded_spacing,modifier = Modifier.size(20.dp),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,743,hardcoded_spacing,Spacer(modifier = Modifier.width(8.dp)),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,751,hardcoded_spacing,Spacer(modifier = Modifier.height(12.dp)),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,766,hardcoded_spacing,Spacer(modifier = Modifier.width(8.dp)),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsComponents.kt,789,hardcoded_spacing,Spacer(modifier = Modifier.height(12.dp)),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsEngine.kt,3,material2_import,import androidx.compose.material.icons.Icons,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsEngine.kt,4,material2_import,import androidx.compose.material.icons.filled.Dashboard,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsEngine.kt,5,material2_import,import androidx.compose.material.icons.filled.Insights,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsEngine.kt,6,material2_import,import androidx.compose.material.icons.filled.Schedule,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsEngine.kt,7,material2_import,import androidx.compose.material.icons.automirrored.filled.TrendingUp,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,13,material2_import,import androidx.compose.material.icons.Icons,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,14,material2_import,import androidx.compose.material.icons.filled.*,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,16,material2_import,import androidx.compose.material.icons.automirrored.filled.TrendingUp,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,17,material2_import,import androidx.compose.material.icons.automirrored.filled.ShowChart,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,18,material2_import,import androidx.compose.material.icons.automirrored.filled.TrendingDown,androidx.compose.material3,Replace Material 2 import with Material 3 counterpart
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,83,deprecated_api,ScrollableTabRow(,TabRow (material3),Use Material 3 equivalent for TabRow
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,95,deprecated_api,Tab(,Tab (material3),Use Material 3 equivalent for Tab
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,172,hardcoded_spacing,horizontalArrangement = Arrangement.spacedBy(8.dp),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,183,hardcoded_spacing,"{ Icon(Icons.Filled.Check, contentDescription = null, Modifier.size(18.dp)) }","central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,197,hardcoded_spacing,modifier = Modifier.padding(top = 12.dp),"central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,217,hardcoded_spacing,"horizontalArrangement = Arrangement.spacedBy(12.dp),","central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
app\src\main\java\com\mtlc\studyplan\analytics\AnalyticsScreen.kt,265,hardcoded_spacing,"horizontalArrangement = Arrangement.spacedBy(12.dp),","central spacing constants (e.g., Spacing.M, Spacing.L)",Replace with shared spacing constant
